bedrooms,bathrooms,sqft_lot,floors,condition,yr_built,price
3,1,5650,1,3,1955,221900
3,2.25,7242,2,3,1951,538000
2,1,10000,1,3,1933,180000
4,3,5000,1,5,1965,604000
3,2,8080,1,3,1987,510000
4,4.5,101930,1,3,2001,1.23E+06
3,2.25,6819,2,3,1995,257500
3,1.5,9711,1,3,1963,291850
3,1,7470,1,3,1960,229500
3,2.5,6560,2,3,2003,323000
3,2.5,9796,1,3,1965,662500
2,1,6000,1,4,1942,468000
3,1,19901,1.5,4,1927,310000
3,1.75,9680,1,4,1977,400000
5,2,4850,1.5,3,1900,530000
4,3,5000,2,3,1979,650000
3,2,14040,2,3,1994,395000
4,1,4300,1.5,4,1916,485000
2,1,9850,1,4,1921,189000
3,1,9774,1,4,1969,230000
4,1.75,4980,1,4,1947,385000
3,2.75,44867,1,3,1968,2.00E+06
5,2.5,6300,2,3,1995,285000
2,1.5,9643,1,3,1985,252700
3,2.25,6500,2,4,1985,329000
3,2,4697,1.5,5,1941,233000
3,1.75,2691,2,3,1915,937000
3,1,1581,1.5,5,1909,667000
3,1.75,6380,1,3,1948,438000
4,2.5,7173,2,3,2005,719000
3,2.5,3980,2,3,2003,580500
2,1.5,1265,3,3,2005,280000
4,1.75,5000,1.5,4,1929,687500
3,1,3000,1.5,4,1929,535000
4,2.75,6659,1,3,1981,322500
3,2.5,3060,1.5,3,1930,696000
4,1,34848,1,1,1933,550000
4,2,6000,2,4,1904,640000
4,1,8075,1,2,1969,240000
4,2.5,7553,2,3,1996,605000
4,2.5,5520,2,3,2000,625000
4,2.25,24186,1,3,1984,775000
5,2.75,5639,2,3,2014,861990
3,1,2280,2,3,1922,685000
3,1,9656,1,4,1959,309000
3,2.5,13603,2,3,2003,488000
3,1,8528,1,3,1966,210490
4,2.5,13416,2,4,1981,785000
3,1.75,5963,1,4,1953,450000
3,2.5,65005,1,5,1953,1.35E+06
3,1,9199,1,3,1955,228000
5,2.5,9134,1,4,1966,345000
3,1.75,4080,1,4,1950,600000
2,1.75,8550,1,3,1981,585000
5,2.25,6000,1.5,3,1927,920000
4,2.5,5000,2,3,1995,885000
4,2.5,4495,2,3,2008,292500
3,2.5,4750,2,3,2003,301000
5,3.25,14342,2,4,1968,951000
4,3,9976,2,3,1991,430000
3,2.25,21235,1,4,1959,650000
3,1.75,8400,1,3,1954,289000
3,1.75,8690,2,5,1973,505000
3,1.75,1044,3,3,2014,549000
3,2.25,6000,1,3,1979,425000
3,2.75,3809,1.5,5,1925,317625
4,2.5,11049,2,3,1989,975000
4,2.5,4648,2,3,2005,287000
3,1,12070,1,4,1968,204000
5,2.25,20158,1,3,1965,1.33E+06
5,3.25,50094,1,4,1973,1.04E+06
3,2,5612,1,4,1972,325000
4,2,7807,1.5,5,1916,571000
4,2.5,5000,2,3,2005,360000
3,1.75,50529,1,5,1965,349000
4,4,35102,2,4,1986,832500
4,1.75,7300,1,3,1956,380000
3,1,5060,1,3,1941,480000
3,1,5060,1,4,1956,410000
4,2.5,39683,2,3,2002,720000
3,2.5,5100,2,3,2003,390000
4,2.5,5889,2,3,1992,360000
2,1,6720,1,3,1948,355000
3,1.5,8712,1,3,1964,356000
3,1,6634,1,3,1952,315000
3,1.5,3600,2,3,1925,940000
5,2.25,8400,1.5,5,1961,305000
3,3.25,6278,2,3,2006,461000
2,2.25,2040,2,4,1979,215000
2,1.75,1066,2,3,2006,335000
4,2.5,7403,2,3,1988,243500
5,2.75,6353,2,4,2001,1.10E+06
3,1,10500,1,3,1962,153000
3,1.5,5000,1,3,1939,430000
3,1.5,5000,1,3,1939,700000
4,2.5,10250,1,3,1946,905000
3,1.75,15681,1,3,1967,247500
4,1.5,6400,1,4,1975,199000
3,1.75,41800,1,5,1980,314000
3,2.5,36847,2,3,1992,437500
3,2.5,13241,1.5,5,1910,850830
3,2,3478,1.5,4,1929,555000
3,2.25,107593,2,4,1983,699950
3,2.5,8113,2,3,1950,1.09E+06
3,1,33919,1,3,1954,290000
3,2.5,10005,1,4,1978,375000
3,1,4005,1.5,4,1939,460000
2,1.75,2493,1,4,1985,188500
4,2.5,28037,2,4,1991,680000
5,1.75,12342,2,4,1942,470000
4,2.5,9624,2,3,1984,597750
3,1.75,3328,1,5,1905,570000
3,1.75,12600,1,4,1980,272500
3,1.75,5969,1,3,1971,329950
4,2.5,16171,2,3,2001,480000
3,3.5,6350,2,3,1900,740500
3,3.5,1102,3,3,2010,518500
2,1,6780,1,4,1945,205425
4,2,9600,1,3,1950,171800
4,1,2982,1.5,4,1925,535000
3,2.5,6474,1,3,1964,660000
3,2,9132,1,3,1987,391500
2,1,6000,1,3,1953,395000
4,1.75,4400,1.5,5,1924,445000
3,2.25,10204,2,3,1990,770000
4,2.75,17789,1.5,3,1914,1.45E+06
3,2.25,8201,1,3,1967,445000
4,2.25,8811,1,3,1978,260000
5,3.5,4960,2,5,1926,822500
